CPIIT
43.5
44.3
45
45.6
46.3
46.8
47.1
47.5
48.2
49
49.9
50.4
51.2
51.9
52.3
52.8
53.4
53.9
54.6
55.6
56.5
57.4
58.2
58.6
59.4
60.2
60.8
61.4
62
62.3
62.8
63.2
64
64.9
65.7
65.9
66.7
67.5
68
68.5
69
69.4
69.5
69.9
70.5
71.1
71.7
72.1
72.9
73.8
74.4
75
75.5
75.9
76.1
76.3
76.7
77.5
78.1
78.5
78.9
79.2
79.6
79.7
80.1
80.3
80.3
80.5
80.7
81.1
81.5
81.8
82.2
82.7
82.9
83.2
83.6
83.9
84.1
84.4
84.9
85.6
85.9
86
86.5
86.9
87.3
87.5
87.8
88.1
88.2
88.6
89.1
89.7
90.3
90.7
91.3
92
92.6
93
93.5
93.9
94
94.2
94.7
95.4
96
96.4
97.3
98
98.4
98.8
99.1
99.5
99.8
100.5
101.1
101.9
102.5
102.7
103.4
104.2
104.8
105.2
105.6
106.1
106.5
106.8
107.3
107.8
108.5
108.8
109.5
110
110.5
110.8
111.4
111.7
111.9
112.2
112.4
113
113.7
113.8
114.4
114.9
115.2
115.7
116.2
116.8
117.1
117.3
117.5
118.2
118.6
118.7
119.4
119.8
120.9
120.4
120.9
121.2
121.5
121.7
122.1
122.7
123.2
123.5
124
125
126.7
126.7
127.1
128
128.2
128.6
128.9
129.4
130.2
130.4
130.9
131.3
131.7
132.5
133
133.2
