TC
206.72
205.42
211.49
211.09
209.06
207.19
209.43
208.41
210.76
211.34
212.25
211.83
210.97
210.95
211.34
211.83
214.26
202.26
200.59
199.62
198.92
202.47
202.55
202.93
203.85
203.68
194.10
196.76
198.21
197.69
197.03
198.26
199.75
200.01
199.19
198.74
198.68
201.64
202.44
200.80
201.89
199.30
200.09
202.92
204.65
203.09
203.56
202.48
201.96
200.87
212.42
209.53
209.43
209.96
218.93
220.22
222.54
221.76
221.73
221.44
222.35
220.04
221.00
214.60
215.82
214.81
211.06
210.00
211.18
211.05
212.53
209.68
213.72
213.50
213.45
214.36
215.94
216.66
218.06
217.25
216.55
216.11
216.90
217.67
218.84
217.51
218.86
219.38
219.97
220.15
219.24
219.43
219.10
217.54
216.70
215.48
215.09
215.61
217.80
216.40
213.07
212.09
212.04
213.21
213.91
216.03
217.33
219.22
219.00
219.51
218.96
218.55
217.65
218.25
217.89
221.54
223.65
223.15
222.80
223.39
221.73
220.59
220.18
217.86
218.99
219.84
219.63
219.69
219.38
218.87
220.70
221.53
221.39
220.87
222.28
222.74
224.00
224.88
223.61
224.00
260.84
253.51
255.58
266.61
274.87
289.41
291.53
274.05
271.33
268.56
272.76
270.00
279.47
278.46
284.78
289.84
286.50
286.10
284.48
279.75
282.78
287.62
293.17
291.09
293.77
296.66
299.24
301.62
302.80
313.88
344.64
348.87
326.38
331.08
328.82
319.07
322.07
323.65
318.91
314.52
303.23
302.12
305.22
298.45
294.14
293.52
