CPIFR
57.85
58.39
58.93
59.75
60.29
60.89
61.93
62.69
63.40
64.21
64.76
65.14
65.84
66.50
67.31
68.08
68.62
69.11
69.33
69.54
69.82
70.20
70.85
71.45
72.16
72.65
73.35
74.28
74.77
75.20
75.86
76.29
76.89
77.49
77.82
78.09
78.63
79.12
79.67
80.16
80.59
80.97
81.52
81.95
82.33
82.88
83.15
83.31
83.75
84.18
84.78
85.38
85.82
86.14
86.47
86.58
86.69
86.96
87.12
87.23
87.28
87.07
87.28
87.61
87.83
88.10
88.21
88.32
88.65
88.86
88.97
89.08
89.90
90.06
90.17
90.66
90.82
90.98
91.20
91.42
91.47
91.69
91.80
91.86
92.02
92.18
92.45
92.89
93.11
93.38
93.71
93.98
94.20
94.41
94.52
94.69
95.07
95.34
95.61
96.21
96.59
96.70
96.97
97.13
97.35
97.79
97.95
98.06
98.51
98.71
99.01
99.51
99.61
99.61
99.71
100.31
101.01
101.51
101.31
101.21
101.81
102.11
102.31
102.61
102.91
103.11
103.41
103.51
103.71
104.21
104.61
104.31
104.51
104.91
105.31
105.51
105.81
105.81
105.71
105.61
105.91
106.21
106.31
106.31
106.71
107.11
107.61
107.71
107.91
107.81
107.91
107.91
108.31
108.51
108.61
108.51
108.71
109.01
109.21
109.51
109.71
109.71
109.71
109.71
110.01
110.31
110.31
110.21
110.51
110.91
111.21
111.31
111.51
111.51
111.31
111.81
112.21
112.31
112.41
112.51
112.71
113.11
113.81
114.01
114.21
114.11
